"","StateAb","DivisionID","DivisionNm","PollingPlaceID","PollingPlace","CandidateID","Surname","GivenNm","BallotPosition","Elected","HistoricElected","PartyAb","PartyNm","OrdinaryVotes","Swing"
"153","ACT",102,"Fraser",38504,"Gungahlin PPVC",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",4429,2.08
"154","ACT",102,"Fraser",38504,"Gungahlin PPVC",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",4493,-2.08
"155","ACT",102,"Fraser",8819,"Hall",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",128,1.51
"156","ACT",102,"Fraser",8819,"Hall",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",129,-1.51
"157","ACT",102,"Fraser",47681,"Harrison",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",1106,-0.41
"158","ACT",102,"Fraser",47681,"Harrison",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1285,0.41
"159","ACT",102,"Fraser",8821,"Holt",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",903,-0.45
"160","ACT",102,"Fraser",8821,"Holt",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1752,0.45
"161","ACT",102,"Fraser",8822,"Jervis Bay",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",18,-4.34
"162","ACT",102,"Fraser",8822,"Jervis Bay",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",31,4.34
"163","ACT",102,"Fraser",8823,"Kaleen",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",814,2.48
"164","ACT",102,"Fraser",8823,"Kaleen",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1303,-2.48
"165","ACT",102,"Fraser",8824,"Kaleen South",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",559,0.74
"166","ACT",102,"Fraser",8824,"Kaleen South",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",906,-0.74
"167","ACT",102,"Fraser",8825,"Latham",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",648,0.37
"168","ACT",102,"Fraser",8825,"Latham",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1130,-0.37
"169","ACT",102,"Fraser",8826,"Lyneham",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",676,1.43
"170","ACT",102,"Fraser",8826,"Lyneham",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",2066,-1.43
"171","ACT",102,"Fraser",8827,"Macgregor",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",742,1.38
"172","ACT",102,"Fraser",8827,"Macgregor",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1418,-1.38
"173","ACT",102,"Fraser",8828,"Macquarie",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",456,0.49
"174","ACT",102,"Fraser",8828,"Macquarie",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1073,-0.49
"175","ACT",102,"Fraser",8830,"Melba",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal",722,1.83
"176","ACT",102,"Fraser",8830,"Melba",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party",1254,-1.83
